,time,BBDC4,GGBR4,MGLU3
155,2022-02-24T12:00:00-03:00,20.04,23.69,5.87
156,2022-02-24T13:00:00-03:00,20.01,23.88,5.81
157,2022-02-24T14:00:00-03:00,19.83,23.61,5.78
158,2022-02-24T15:00:00-03:00,19.93,23.78,5.9
159,2022-02-24T16:00:00-03:00,20.16,24.04,6.05
160,2022-02-24T17:00:00-03:00,20.2,24.23,6.08
161,2022-02-24T18:00:00-03:00,20.25,24.28,6.12
162,2022-02-25T10:00:00-03:00,20.2,23.74,6.12
163,2022-02-25T11:00:00-03:00,20.29,24.16,5.98
164,2022-02-25T12:00:00-03:00,20.3,24.18,5.99
165,2022-02-25T13:00:00-03:00,20.41,24.41,5.94
166,2022-02-25T14:00:00-03:00,20.4,24.56,5.96
167,2022-02-25T15:00:00-03:00,20.24,24.53,5.97
168,2022-02-25T16:00:00-03:00,20.19,25.01,5.92
169,2022-02-25T17:00:00-03:00,20.48,25.1,5.93
170,2022-02-25T18:00:00-03:00,20.35,25.46,6.01
171,2022-03-02T13:00:00-03:00,19.86,26.76,6.14
172,2022-03-02T14:00:00-03:00,20.13,27.16,6.26
173,2022-03-02T15:00:00-03:00,20.12,27.1,6.27
174,2022-03-02T16:00:00-03:00,20.03,27.18,6.26
175,2022-03-02T17:00:00-03:00,20.1,27.17,6.3
176,2022-03-02T18:00:00-03:00,20.14,27.1,6.31
177,2022-03-03T10:00:00-03:00,20.55,27.94,6.35
178,2022-03-03T11:00:00-03:00,20.45,28.45,6.22
179,2022-03-03T12:00:00-03:00,20.45,28.24,6.21
180,2022-03-03T13:00:00-03:00,20.46,28.33,6.26
181,2022-03-03T14:00:00-03:00,20.57,28.24,6.27
182,2022-03-03T15:00:00-03:00,20.56,28.14,6.3
183,2022-03-03T16:00:00-03:00,20.56,28.21,6.32
184,2022-03-03T17:00:00-03:00,20.45,28.26,6.32
186,2022-03-04T10:00:00-03:00,20.25,28.51,6.17
187,2022-03-04T11:00:00-03:00,19.98,28.89,6.2
188,2022-03-04T12:00:00-03:00,19.91,28.53,6.18
189,2022-03-04T13:00:00-03:00,19.86,28.82,6.18
190,2022-03-04T14:00:00-03:00,19.91,29.01,6.18
191,2022-03-04T15:00:00-03:00,19.83,29.02,6.16
192,2022-03-04T16:00:00-03:00,19.78,29.21,6.18
193,2022-03-04T17:00:00-03:00,19.87,29.26,6.25
194,2022-03-04T18:00:00-03:00,19.92,29.4,6.29
195,2022-03-07T10:00:00-03:00,19.89,29.54,6.27
196,2022-03-07T11:00:00-03:00,19.74,29.71,6.17
197,2022-03-07T12:00:00-03:00,19.63,29.78,6.1
198,2022-03-07T13:00:00-03:00,19.6,29.44,6.06
199,2022-03-07T14:00:00-03:00,19.49,29.11,6.0
200,2022-03-07T15:00:00-03:00,19.48,28.96,5.97
201,2022-03-07T16:00:00-03:00,19.5,28.81,5.87
202,2022-03-07T17:00:00-03:00,19.26,28.65,5.81
203,2022-03-07T18:00:00-03:00,19.41,28.87,5.85
204,2022-03-08T10:00:00-03:00,19.44,28.9,5.91
205,2022-03-08T11:00:00-03:00,19.52,28.51,5.9
206,2022-03-08T12:00:00-03:00,19.49,28.37,5.8
207,2022-03-08T13:00:00-03:00,19.49,28.29,5.82
208,2022-03-08T14:00:00-03:00,19.86,28.02,6.15
209,2022-03-08T15:00:00-03:00,19.73,28.02,6.01
210,2022-03-08T16:00:00-03:00,19.76,28.04,6.05
211,2022-03-08T17:00:00-03:00,19.74,27.92,6.08
213,2022-03-09T10:00:00-03:00,20.26,27.64,6.36
214,2022-03-09T11:00:00-03:00,20.55,28.14,6.41
215,2022-03-09T12:00:00-03:00,20.69,28.17,6.5
216,2022-03-09T13:00:00-03:00,20.77,28.25,6.35
217,2022-03-09T14:00:00-03:00,20.87,28.2,6.34
218,2022-03-09T15:00:00-03:00,20.85,28.26,6.27
219,2022-03-09T16:00:00-03:00,20.93,28.56,6.25
220,2022-03-09T17:00:00-03:00,20.85,28.7,6.2
221,2022-03-09T18:00:00-03:00,20.92,28.86,6.23
222,2022-03-10T10:00:00-03:00,20.55,28.76,6.02
223,2022-03-10T11:00:00-03:00,20.68,29.03,5.92
224,2022-03-10T12:00:00-03:00,20.63,29.01,5.91
225,2022-03-10T13:00:00-03:00,20.66,29.3,5.88
226,2022-03-10T14:00:00-03:00,20.53,29.31,5.89
227,2022-03-10T15:00:00-03:00,20.59,29.69,6.02
228,2022-03-10T16:00:00-03:00,20.64,30.08,5.99
229,2022-03-10T17:00:00-03:00,20.71,30.01,5.97
230,2022-03-10T18:00:00-03:00,20.79,30.19,5.96
231,2022-03-11T10:00:00-03:00,20.96,30.25,6.17
